nohup: ignoring input
/root/ot_image_refactored/model/text_guided_sde.py:144: SyntaxWarning: invalid escape sequence '\i'
  """用于在损失函数中计算 \int ||v_t||^2 dt"""
/root/miniconda3/lib/python3.12/site-packages/clip/clip.py:137: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(model_path, map_location="cpu")
[VAE] 正在从本地加载权重: /root/autodl-tmp/sd-vae-ft-mse
[CLIP] 正在物理强制加载本地权重文件: /root/autodl-tmp/clip/RemoteCLIP-ViT-L-14.pt
🚀 Started Training: V35_TextGuided_ENOT_Base | Logs: /root/autodl-tmp/runs/V35_TextGuided_ENOT_Base/tb_logs
Epoch [3/100] (eps=0.0075) [100/852] |██------------------| G=4.2630 D=-1.8944 dir=0.0616 nc=12.5195 [0.39s/it]
Epoch [3/100] (eps=0.0075) [150/852] |███-----------------| G=3.2410 D=-0.9021 dir=0.0675 nc=9.4166 [0.38s/it]
Epoch [3/100] (eps=0.0075) [200/852] |████----------------| G=1.3532 D=-0.0676 dir=0.0600 nc=8.4724 [0.37s/it]
Epoch [3/100] (eps=0.0075) [250/852] |█████---------------| G=1.6029 D=-0.1112 dir=0.0616 nc=9.0055 [0.38s/it]
Epoch [3/100] (eps=0.0075) [300/852] |███████-------------| G=2.7377 D=0.1228 dir=0.0890 nc=12.3673 [0.44s/it]
Epoch [3/100] (eps=0.0075) [350/852] |████████------------| G=2.1925 D=-0.4237 dir=0.0793 nc=10.2464 [0.38s/it]
Epoch [3/100] (eps=0.0075) [400/852] |█████████-----------| G=1.6069 D=0.6480 dir=0.0649 nc=11.2206 [0.38s/it]
Epoch [3/100] (eps=0.0075) [450/852] |██████████----------| G=0.9231 D=0.2317 dir=0.0555 nc=8.6986 [0.38s/it]
Epoch [3/100] (eps=0.0075) [500/852] |███████████---------| G=1.8324 D=-0.0596 dir=0.0631 nc=11.4591 [0.38s/it]
Epoch [3/100] (eps=0.0075) [550/852] |████████████--------| G=1.5204 D=-0.6435 dir=0.0486 nc=9.8778 [0.38s/it]
Epoch [3/100] (eps=0.0075) [600/852] |██████████████------| G=1.5945 D=-0.3398 dir=0.0311 nc=10.4259 [0.38s/it]
Epoch [3/100] (eps=0.0075) [650/852] |███████████████-----| G=2.2933 D=-0.6076 dir=0.0545 nc=9.9637 [0.38s/it]
Epoch [3/100] (eps=0.0075) [700/852] |████████████████----| G=1.3223 D=0.3280 dir=0.0663 nc=12.3451 [0.38s/it]
Epoch [3/100] (eps=0.0075) [750/852] |█████████████████---| G=1.8933 D=-0.2649 dir=0.0753 nc=11.9663 [0.38s/it]
Epoch [3/100] (eps=0.0075) [800/852] |██████████████████--| G=1.1894 D=-0.1055 dir=0.0674 nc=11.6349 [0.46s/it]
Epoch [3/100] (eps=0.0075) [850/852] |███████████████████-| G=1.5072 D=-0.0520 dir=0.0686 nc=9.4857 [0.38s/it]
Epoch [3/100] (eps=0.0075) [852/852] |████████████████████| G=2.8043 D=0.0493 dir=0.0462 nc=13.8289 [0.37s/it]
Epoch [4/100] (eps=0.0100) [050/852] |█-------------------| G=0.8056 D=-0.3950 dir=0.0632 nc=10.2196 [0.39s/it]
Epoch [4/100] (eps=0.0100) [100/852] |██------------------| G=1.4049 D=-0.6526 dir=0.0504 nc=10.4336 [0.38s/it]
Epoch [4/100] (eps=0.0100) [150/852] |███-----------------| G=1.2550 D=0.1406 dir=0.0758 nc=8.1873 [0.38s/it]
Epoch [4/100] (eps=0.0100) [200/852] |████----------------| G=1.6594 D=-0.1908 dir=0.1142 nc=10.3152 [0.38s/it]
Epoch [4/100] (eps=0.0100) [250/852] |█████---------------| G=1.1102 D=-0.5592 dir=0.0577 nc=12.2245 [0.38s/it]
Epoch [4/100] (eps=0.0100) [300/852] |███████-------------| G=1.8257 D=-0.9148 dir=0.0691 nc=9.8274 [0.38s/it]
Epoch [4/100] (eps=0.0100) [350/852] |████████------------| G=1.3161 D=0.3645 dir=0.0433 nc=13.1352 [0.38s/it]
Epoch [4/100] (eps=0.0100) [400/852] |█████████-----------| G=2.2763 D=-0.7953 dir=0.0805 nc=10.6069 [0.38s/it]
Epoch [4/100] (eps=0.0100) [450/852] |██████████----------| G=2.3082 D=-1.5948 dir=0.0000 nc=12.4401 [0.45s/it]
Epoch [4/100] (eps=0.0100) [500/852] |███████████---------| G=1.5254 D=0.0314 dir=0.0629 nc=13.4183 [0.38s/it]
Epoch [4/100] (eps=0.0100) [550/852] |████████████--------| G=1.5894 D=-0.2821 dir=0.0609 nc=10.7327 [0.38s/it]
Epoch [4/100] (eps=0.0100) [600/852] |██████████████------| G=1.5837 D=-0.1753 dir=0.0683 nc=11.6544 [0.38s/it]
Epoch [4/100] (eps=0.0100) [650/852] |███████████████-----| G=2.0855 D=0.0781 dir=0.0401 nc=11.6869 [0.38s/it]
Epoch [4/100] (eps=0.0100) [700/852] |████████████████----| G=1.8743 D=-0.4548 dir=0.0443 nc=12.7942 [0.39s/it]
